OrderID,OrderDate,Year,Month,CustomerID,Gender,AgeGroup,Region,Country,CustomerType,Product,Category,UnitsPurchased,UnitPrice,Revenue,Discount,Profit,PaymentMethod,Revenue,Profit,UnitsPurchased,,,
50078,2023-02-09,2023,February,CUST1227,Male,36-45,South,India,Loyal,Smartphone,Fashion,5,46737,233685,793,28738,UPI,233685,28738,5,,,
50079,2023-07-01,2023,July,CUST1422,Female,26-35,South,USA,New,Backpack,Fashion,2,24215,48430,1049,7507,Credit Card,48430,7507,2,,,
50080,2022-07-16,2022,July,CUST1199,Female,46-60,South,USA,Returning,Headphones,Accessories,4,41511,166044,1371,35725,Debit Card,166044,35725,4,,,
50081,2023-10-02,2023,October,CUST1236,Female,26-35,North,India,New,Coffee Maker,Fashion,5,38660,193300,754,32464,UPI,193300,32464,5,,,
50082,2023-06-06,2023,June,CUST1390,Male,18-25,North,UK,Loyal,Backpack,Home,2,25688,51376,3306,12570,Debit Card,51376,12570,2,,,
50083,2023-08-18,2023,August,CUST1342,Male,46-60,South,Germany,Loyal,Headphones,Electronics,1,59005,59005,1798,10269,Credit Card,59005,10269,1,,,
50084,2024-09-15,2024,September,CUST1226,Male,46-60,South,Germany,Returning,Backpack,Electronics,5,13570,67850,525,10328,Credit Card,67850,10328,5,,,
50085,2023-09-11,2023,September,CUST1074,Female,26-35,East,USA,Loyal,Shoes,Electronics,3,30961,92883,886,12801,UPI,92883,12801,3,,,
50086,2024-07-01,2024,July,CUST1087,Female,26-35,East,Australia,Loyal,Smartwatch,Fashion,3,4052,12156,1645,3010,Net Banking,12156,3010,3,,,
50087,2022-07-29,2022,July,CUST1082,Female,26-35,South,Germany,Loyal,Smartphone,Home,1,25948,25948,1356,4314,Credit Card,25948,4314,1,,,
50088,2024-09-26,2024,September,CUST1351,Male,36-45,West,Canada,Loyal,Smartphone,Accessories,3,21846,65538,2424,16193,Credit Card,65538,16193,3,,,
50089,2024-07-05,2024,July,CUST1131,Male,18-25,South,USA,Returning,Smartphone,Electronics,1,5462,5462,2075,674,Debit Card,5462,674,1,,,
50090,2023-04-19,2023,April,CUST1133,Female,26-35,East,Germany,New,Smartwatch,Home,5,23748,118740,3947,27100,Credit Card,118740,27100,5,,,
50091,2024-06-01,2024,June,CUST1066,Male,46-60,South,Germany,Loyal,Smartwatch,Home,2,48786,97572,2491,28453,PayPal,97572,28453,2,,,
50092,2022-03-05,2022,March,CUST1283,Female,36-45,South,USA,New,Coffee Maker,Accessories,1,15731,15731,3171,1892,Credit Card,15731,1892,1,,,
50093,2022-10-17,2022,October,CUST1366,Male,18-25,East,USA,New,Smartphone,Accessories,4,27513,110052,3656,14706,PayPal,110052,14706,4,,,
50094,2024-04-22,2024,April,CUST1479,Male,46-60,East,USA,Loyal,Backpack,Home,2,12180,24360,1658,4733,Net Banking,24360,4733,2,,,
50095,2023-08-02,2023,August,CUST1163,Female,26-35,South,India,New,Smartphone,Electronics,1,36556,36556,3177,6733,Credit Card,36556,6733,1,,,
50096,2023-06-02,2023,June,CUST1158,Male,36-45,West,UK,New,T-shirt,Accessories,2,4620,9240,3692,957,PayPal,9240,957,2,,,
50097,2023-03-16,2023,March,CUST1098,Female,26-35,North,Australia,Loyal,Smartphone,Fashion,4,13112,52448,2208,11569,Credit Card,52448,11569,4,,,
50098,2022-12-03,2022,December,CUST1292,Male,36-45,South,UK,Loyal,Laptop,Electronics,1,36100,36100,1890,3835,Net Banking,36100,3835,1,,,
50099,2022-04-30,2022,April,CUST1087,Male,18-25,South,USA,Returning,Smartphone,Accessories,1,17308,17308,2342,3185,Debit Card,17308,3185,1,,,
50100,2024-07-30,2024,July,CUST1471,Female,46-60,West,UK,Loyal,Headphones,Fashion,3,40298,120894,3822,33897,UPI,120894,33897,3,,,
50101,2023-04-24,2023,April,CUST1415,Female,36-45,West,UK,Returning,Shoes,Electronics,2,27028,54056,1442,11309,Net Banking,54056,11309,2,,,
50102,2022-01-27,2022,January,CUST1441,Male,26-35,West,UK,Loyal,Headphones,Accessories,1,53906,53906,943,6812,UPI,53906,6812,1,,,
50103,2022-09-08,2022,September,CUST1369,Female,46-60,North,Canada,New,Backpack,Home,3,52883,158649,3580,31204,Debit Card,158649,31204,3,,,
50104,2024-05-25,2024,May,CUST1299,Female,46-60,North,India,New,Smartwatch,Accessories,5,25706,128530,3438,13338,UPI,128530,13338,5,,,
50105,2023-04-23,2023,April,CUST1403,Male,36-45,North,Australia,New,T-shirt,Home,1,23321,23321,1819,2193,PayPal,23321,2193,1,,,
50106,2022-04-28,2022,April,CUST1215,Male,36-45,North,India,Loyal,Smartphone,Accessories,3,23196,69588,2258,9537,Credit Card,69588,9537,3,,,
50107,2023-03-09,2023,March,CUST1185,Male,36-45,West,Germany,New,Backpack,Fashion,1,10109,10109,3837,1719,Net Banking,10109,1719,1,,,
50108,2023-05-18,2023,May,CUST1234,Female,26-35,West,India,Returning,Shoes,Home,4,1452,5808,1240,1082,UPI,5808,1082,4,,,
50109,2023-03-12,2023,March,CUST1369,Male,46-60,South,Germany,New,Laptop,Electronics,4,59450,237800,51,66398,UPI,237800,66398,4,,,
50110,2023-06-21,2023,June,CUST1260,Male,46-60,North,Canada,Loyal,Shoes,Electronics,5,37741,188705,1976,35252,Net Banking,188705,35252,5,,,
50111,2023-07-06,2023,July,CUST1169,Male,18-25,North,UK,Returning,Headphones,Fashion,3,56429,169287,796,27099,UPI,169287,27099,3,,,
50112,2023-11-16,2023,November,CUST1121,Male,26-35,North,UK,New,Tablet,Electronics,5,48671,243355,2978,56552,Net Banking,243355,56552,5,,,
50113,2023-11-14,2023,November,CUST1487,Male,26-35,West,India,New,Tablet,Electronics,3,39331,117993,109,21961,Credit Card,117993,21961,3,,,
50114,2024-04-28,2024,April,CUST1022,Female,36-45,North,Australia,Returning,Coffee Maker,Electronics,2,59583,119166,2726,21921,Credit Card,119166,21921,2,,,
50115,2022-07-06,2022,July,CUST1280,Male,26-35,South,Germany,Loyal,Headphones,Accessories,4,56524,226096,3399,26220,Net Banking,226096,26220,4,,,
50116,2023-09-03,2023,September,CUST1086,Male,26-35,South,UK,Loyal,Laptop,Fashion,4,42236,168944,878,24785,Debit Card,168944,24785,4,,,
50117,2024-02-01,2024,February,CUST1463,Female,18-25,South,Germany,Returning,Smartphone,Home,2,23858,47716,2079,5659,Debit Card,47716,5659,2,,,
50118,2022-03-28,2022,March,CUST1051,Male,36-45,North,Germany,New,Smartphone,Home,4,21772,87088,407,15102,UPI,87088,15102,4,,,
50119,2024-02-25,2024,February,CUST1224,Male,36-45,West,India,Returning,Tablet,Electronics,4,29908,119632,3804,32716,PayPal,119632,32716,4,,,
50120,2023-03-07,2023,March,CUST1349,Male,36-45,South,Canada,Returning,Smartwatch,Electronics,2,35538,71076,271,8146,Credit Card,71076,8146,2,,,
50121,2024-08-13,2024,August,CUST1240,Female,26-35,South,Canada,Returning,Laptop,Accessories,4,48436,193744,745,27909,Debit Card,193744,27909,4,,,
50122,2024-03-31,2024,March,CUST1039,Female,18-25,South,UK,Loyal,Shoes,Home,5,29832,149160,1728,19064,PayPal,149160,19064,5,,,
50123,2022-04-20,2022,April,CUST1215,Female,18-25,East,USA,Loyal,Backpack,Home,3,27524,82572,2898,10062,Debit Card,82572,10062,3,,,
50124,2023-09-17,2023,September,CUST1115,Male,46-60,West,Australia,Loyal,Laptop,Home,4,58041,232164,2515,59088,UPI,232164,59088,4,,,
50125,2023-10-28,2023,October,CUST1457,Female,36-45,East,USA,Loyal,Coffee Maker,Fashion,1,52231,52231,3094,10162,Net Banking,52231,10162,1,,,
50126,2023-07-01,2023,July,CUST1105,Female,46-60,South,UK,Loyal,Tablet,Accessories,3,17163,51489,3315,6496,Net Banking,51489,6496,3,,,
50127,2023-08-09,2023,August,CUST1354,Female,46-60,West,UK,Loyal,Shoes,Accessories,2,31925,63850,630,9958,PayPal,63850,9958,2,,,
50128,2023-04-02,2023,April,CUST1298,Male,18-25,West,Australia,New,Coffee Maker,Electronics,1,8185,8185,1857,690,UPI,8185,690,1,,,
50129,2023-09-01,2023,September,CUST1081,Female,18-25,East,Canada,Loyal,Coffee Maker,Electronics,5,16557,82785,2965,22434,Credit Card,82785,22434,5,,,
50130,2023-01-30,2023,January,CUST1129,Male,36-45,South,India,Returning,Laptop,Fashion,4,50985,203940,1726,43065,Credit Card,203940,43065,4,,,
50131,2023-03-04,2023,March,CUST1424,Male,18-25,South,India,New,Smartphone,Fashion,1,9605,9605,43,2142,Net Banking,9605,2142,1,,,
50132,2022-05-21,2022,May,CUST1168,Male,18-25,East,USA,Returning,Smartphone,Accessories,3,1972,5916,288,744,Credit Card,5916,744,3,,,
50133,2023-06-29,2023,June,CUST1013,Female,36-45,West,Canada,Loyal,Tablet,Home,5,33800,169000,2324,18028,UPI,169000,18028,5,,,
50134,2024-03-28,2024,March,CUST1247,Female,36-45,East,India,New,Shoes,Home,5,43350,216750,1646,22998,Credit Card,216750,22998,5,,,
50135,2023-06-20,2023,June,CUST1254,Male,36-45,West,USA,Returning,Smartwatch,Accessories,5,14167,70835,809,8693,Net Banking,70835,8693,5,,,
50136,2022-01-17,2022,January,CUST1018,Male,26-35,West,USA,New,Tablet,Fashion,2,17034,34068,3910,8538,Net Banking,34068,8538,2,,,
50137,2023-03-17,2023,March,CUST1288,Female,46-60,South,Germany,New,Shoes,Accessories,4,56733,226932,1082,36245,UPI,226932,36245,4,,,
50138,2023-05-11,2023,May,CUST1441,Male,26-35,East,UK,Loyal,T-shirt,Fashion,4,17150,68600,2814,18818,Credit Card,68600,18818,4,,,
50139,2024-06-02,2024,June,CUST1275,Female,26-35,West,Germany,Loyal,Shoes,Electronics,5,41944,209720,1698,57505,Credit Card,209720,57505,5,,,
50140,2023-12-20,2023,December,CUST1389,Male,26-35,North,USA,Loyal,Coffee Maker,Home,2,45489,90978,1741,16750,UPI,90978,16750,2,,,
50141,2022-03-07,2022,March,CUST1043,Male,46-60,South,India,New,Laptop,Fashion,4,41630,166520,3938,31276,PayPal,166520,31276,4,,,
50142,2024-05-18,2024,May,CUST1264,Male,26-35,West,UK,New,Coffee Maker,Accessories,5,58413,292065,3167,51750,Debit Card,292065,51750,5,,,
50143,2022-04-18,2022,April,CUST1036,Male,46-60,West,Germany,New,Coffee Maker,Accessories,4,53056,212224,1849,53878,Net Banking,212224,53878,4,,,
50144,2023-04-22,2023,April,CUST1423,Male,26-35,East,India,Returning,Laptop,Fashion,5,30479,152395,3934,24455,PayPal,152395,24455,5,,,
50145,2023-10-01,2023,October,CUST1195,Female,46-60,West,Australia,Returning,Backpack,Electronics,4,29579,118316,1291,27867,Credit Card,118316,27867,4,,,
50146,2023-10-02,2023,October,CUST1159,Female,26-35,East,Germany,New,Coffee Maker,Accessories,3,33358,100074,2379,16708,UPI,100074,16708,3,,,
50147,2023-02-23,2023,February,CUST1027,Female,46-60,North,Germany,Loyal,Coffee Maker,Electronics,2,16630,33260,3334,7763,Debit Card,33260,7763,2,,,
50148,2023-12-11,2023,December,CUST1142,Female,26-35,North,USA,Returning,Tablet,Fashion,1,7692,7692,1782,867,Credit Card,7692,867,1,,,
50149,2023-01-09,2023,January,CUST1247,Male,18-25,East,USA,Returning,T-shirt,Accessories,1,50067,50067,706,10590,Net Banking,50067,10590,1,,,
50150,2023-01-24,2023,January,CUST1029,Male,46-60,North,Germany,Loyal,Coffee Maker,Electronics,1,40236,40236,2843,7643,Debit Card,40236,7643,1,,,
50151,2022-04-28,2022,April,CUST1115,Female,46-60,East,Germany,Returning,Coffee Maker,Accessories,5,51061,255305,3376,49311,Credit Card,255305,49311,5,,,
50152,2022-03-21,2022,March,CUST1294,Male,18-25,South,USA,Loyal,T-shirt,Fashion,2,37003,74006,2140,20776,UPI,74006,20776,2,,,
50153,2023-06-17,2023,June,CUST1415,Female,46-60,East,India,Loyal,Headphones,Electronics,1,12469,12469,1587,2897,Net Banking,12469,2897,1,,,
50154,2023-03-10,2023,March,CUST1059,Female,46-60,North,USA,New,Shoes,Fashion,1,1732,1732,3291,-409,Credit Card,1732,-409,1,,,
50155,2022-02-04,2022,February,CUST1277,Female,18-25,East,Germany,New,Smartwatch,Accessories,1,20397,20397,1350,5327,Debit Card,20397,5327,1,,,
50156,2023-05-17,2023,May,CUST1126,Male,36-45,East,USA,New,Tablet,Electronics,3,49434,148302,569,43125,Debit Card,148302,43125,3,,,
50157,2023-01-29,2023,January,CUST1173,Male,18-25,West,USA,Loyal,Tablet,Home,4,31968,127872,681,18254,Net Banking,127872,18254,4,,,
50158,2023-04-22,2023,April,CUST1489,Male,46-60,East,USA,Returning,Coffee Maker,Fashion,1,19717,19717,2357,1770,PayPal,19717,1770,1,,,
50159,2024-03-17,2024,March,CUST1314,Female,46-60,South,UK,New,Smartphone,Accessories,3,25656,76968,3972,13009,Debit Card,76968,13009,3,,,
50160,2023-11-01,2023,November,CUST1164,Male,18-25,South,USA,New,Headphones,Fashion,5,53092,265460,86,37967,UPI,265460,37967,5,,,
50161,2023-03-07,2023,March,CUST1177,Male,36-45,South,Australia,Returning,Headphones,Fashion,1,28737,28737,2309,7539,Debit Card,28737,7539,1,,,
50162,2022-09-18,2022,September,CUST1062,Female,18-25,North,Canada,New,Laptop,Electronics,1,990,990,343,71,Net Banking,990,71,1,,,
50163,2024-08-15,2024,August,CUST1006,Female,18-25,East,UK,Returning,Shoes,Home,2,4514,9028,2631,764,Credit Card,9028,764,2,,,
50164,2023-07-31,2023,July,CUST1321,Male,46-60,South,India,New,Tablet,Electronics,3,57297,171891,3251,30429,Debit Card,171891,30429,3,,,
50165,2024-01-17,2024,January,CUST1403,Male,36-45,West,USA,New,Laptop,Accessories,1,7773,7773,3948,840,PayPal,7773,840,1,,,
50166,2022-10-14,2022,October,CUST1130,Female,26-35,South,Australia,Returning,Smartphone,Fashion,4,41860,167440,2603,44988,Debit Card,167440,44988,4,,,
50167,2024-06-14,2024,June,CUST1304,Male,18-25,West,India,Returning,Laptop,Fashion,2,16972,33944,3052,4816,UPI,33944,4816,2,,,
50168,2022-08-16,2022,August,CUST1061,Male,36-45,West,USA,New,Laptop,Fashion,5,30992,154960,1417,28351,PayPal,154960,28351,5,,,
50169,2022-12-17,2022,December,CUST1041,Male,18-25,South,USA,Loyal,Shoes,Fashion,3,37651,112953,2830,17180,PayPal,112953,17180,3,,,
50170,2022-02-11,2022,February,CUST1457,Male,18-25,South,USA,Returning,Backpack,Electronics,4,30350,121400,1578,22796,PayPal,121400,22796,4,,,
50171,2023-05-28,2023,May,CUST1006,Male,18-25,North,USA,New,T-shirt,Electronics,1,27155,27155,2471,2716,Net Banking,27155,2716,1,,,
50172,2023-08-17,2023,August,CUST1024,Male,26-35,West,USA,Returning,Backpack,Fashion,1,59205,59205,1161,15121,Net Banking,59205,15121,1,,,
50173,2022-11-02,2022,November,CUST1132,Male,26-35,East,Australia,Returning,Headphones,Electronics,2,25066,50132,2496,4776,UPI,50132,4776,2,,,
50174,2023-04-26,2023,April,CUST1030,Male,18-25,East,Canada,Returning,Headphones,Fashion,2,8365,16730,2265,2771,UPI,16730,2771,2,,,
50175,2023-10-02,2023,October,CUST1494,Female,46-60,West,Canada,Loyal,T-shirt,Accessories,3,35052,105156,3676,15796,Debit Card,105156,15796,3,,,
50176,2024-07-21,2024,July,CUST1302,Female,26-35,North,India,Returning,Smartphone,Home,2,55823,111646,3041,31319,UPI,111646,31319,2,,,
50177,2022-02-23,2022,February,CUST1067,Female,26-35,South,India,Returning,Coffee Maker,Electronics,2,11034,22068,2490,4735,Net Banking,22068,4735,2,,,
50178,2023-09-20,2023,September,CUST1298,Female,26-35,East,Australia,New,Coffee Maker,Electronics,3,25611,76833,3305,20320,Credit Card,76833,20320,3,,,
